object,tool_or_capability,version,operation_type,state_dependencies,proposed_method,llm_role,fidelity_gap,verification_method,priority,evidence
google-cloud,logging_create_log_bucket,7df9ca22115002e0cea75deec595492c520df3e1,W/A,project global_log_bucket retention,config_API_state_machine,none,location ignored by wrapper,SDK_config_cross_read plus duplicate_retention_cases,P2,docs/mcp-mock/services/google-cloud.md:334; S:958-980; L:275-329
google-cloud,compute_instances_list_get_create_delete_start_stop_restart,7df9ca22115002e0cea75deec595492c520df3e1,R/W/A/E,zone instance disk network quota IAM operation,deterministic_control_plane_state_machine,seed_labels_and_scenarios,operation ID dropped; missing output fields; no guest execution,instance_operation_invariants plus SDK_real_differential,P2,docs/mcp-mock/services/google-cloud.md:335; S:984-1154; C:53-296
google-cloud,compute_list_zones_wait_for_operation,7df9ca22115002e0cea75deec595492c520df3e1,R/wait,zone operation clock,virtual_scheduler plus SDK_API,none,20-zone projection; wrapper conflates failures with timeout,operation_history and independent_DONE_checks,P2,docs/mcp-mock/services/google-cloud.md:336; S:1157-1191; C:298-347
google-cloud,X_SDK_HTTP_CLI_and_shared_files,repository_ef7ab5928062defc0dc2a91a4c26ddebccb1a6a7,R/W/E/A,all_service_state auth_mapping blob mount,SDK_transport plus REST_gRPC_CLI_adapters,none,multiple_credentials_and_transports; runtime_versions_and_error_profiles_pending,SDK_MCP_HTTP_CLI_cross_read plus isolation plus versioned_error_envelopes,P0,docs/mcp-mock/services/google-cloud.md:337; uv.lock:931-983; live-transactions/evaluation/main.py:130-235; ab-testing/evaluation/main.py:133-150; SDK_v1.11.0_lowlevel/server.py:401-407_502-503
google_calendar,create_event,@gongrzhe/server-calendar-autoauth-mcp@1.0.2,write,principal primary calendar event time ACL,deterministic MCP adapter and shared Calendar core,offline seed text only,server normalization and API error strings require differential records,contract snapshot and independent create-read invariants,P0,docs/mcp-mock/services/google_calendar.md:270; S:L96-L108 and L188-L204; package-lock.json:1688-1725
google_calendar,get_event,@gongrzhe/server-calendar-autoauth-mcp@1.0.2,read,event identity metadata ACL recurring instance,deterministic state renderer,no online LLM,deleted-resource and special-event fields need records,cross-process read and real API normalized differential,P0,docs/mcp-mock/services/google_calendar.md:271; S:L109-L111 and L206-L219
google_calendar,update_event,@gongrzhe/server-calendar-autoauth-mcp@1.0.2,write,event revision partial fields permissions,atomic PATCH semantics with source text renderer,no online LLM,empty and nested PATCH plus attendee-copy restrictions,omitted-field preservation and parallel-update histories,P0,docs/mcp-mock/services/google_calendar.md:272; S:L112-L125 and L221-L239; official events.patch
google_calendar,delete_event,@gongrzhe/server-calendar-autoauth-mcp@1.0.2,write,event tombstone series exception permission,transactional delete and retained tombstones,no online LLM,deleted get and repeated-delete distinctions require evidence,delete-read-list and series-instance differential,P0,docs/mcp-mock/services/google_calendar.md:273; S:L126-L128 and L241-L254; official API errors
google_calendar,list_events,@gongrzhe/server-calendar-autoauth-mcp@1.0.2,read,calendar range indexes timezone recurrence revision,deterministic overlap query and exact truncating wrapper,no online LLM,short pages and equal-sort-key order not fully specified,range-boundary and dense-calendar consistency,P0,docs/mcp-mock/services/google_calendar.md:274; S:L129-L134 and L256-L274; official events.list
google_calendar,existing recurring and all-day events,Calendar API v3 behind MCP 1.0.2,read/write,master exception originalStartTime timezone,rule library plus Calendar-specific instance state,offline background only,complex recurrence and DST behavior staged,official recurrence records and independent instance-set oracle,P1,docs/mcp-mock/services/google_calendar.md:275; S:L144-L145 and L264; official recurringevents
google_calendar,identity permissions and existing attendee attachments,Calendar API v3 behind MCP 1.0.2,read/write,principal scope organizer event copy Drive references,domain ACL checks and explicit cross-service identity map,offline descriptive content only,guest-copy rules and propagation need scoped profile,permission matrix and cross-service reference checks,P1,docs/mcp-mock/services/google_calendar.md:276; S:L17-L94 and L188-L274; official Event resource
google_calendar,initialization evaluation and future SDK HTTP,repository HEAD ef7ab592 plus MCP 1.0.2,read/write,episode shared persistent Calendar state,shared core with process routing and optional HTTP SDK adapters,none,current tasks use MCP only and broader SDK routes not validated,multi-process restart and cross-entry consistency,P0,docs/mcp-mock/services/google_calendar.md:277; tasks/finalpool/student-interview/preprocess/setup_calendar_events.py:47-169; evaluation/main.py:175-206; set-conf-cr-ddl/evaluation/main.py:55-96
google_calendar,protocol schema errors and authentication,SDK 0.4.0 Zod 3.25.76 converter 3.24.5,protocol/auth,version manifest credentials scope tool registration,source-compatible contract adapter and synthetic identity,none,running image and live error text unknown,initialize tools-list raw and model output snapshots,P0,docs/mcp-mock/services/google_calendar.md:278; package-lock.json:1707-1725 and 14748-14764; S:L95-L183 and L276-L299
google_calendar,LLM simulation comparison,design profile for MCP 1.0.2,simulation,explicit indexed state revision validated proposal,code baseline versus LLM proposal versus offline-content hybrid,controlled proposal experiment and seeded content,online LLM errors cost fallback and state truncation risk,independent oracle long-sequence leakage and cost benchmarks,P1,docs/mcp-mock/services/google_calendar.md:279; report sections 7 and 8
google_forms,create_form,96f7fa1ff02b8130105ddc6d98796f3b49c1c574,W,Principal;DriveFile;Form;publish policy,stateful MCP facade and Forms core,offline content only,description backend rejection and canonical URL U,wrapper snapshot;create-get differential,P0,docs/mcp-mock/services/google_forms.md:245; G:69-86;203-247;official forms.create
google_forms,add_text_question,96f7fa1ff02b8130105ddc6d98796f3b49c1c574,R+W,Form;ordered Item;Question;ACL,code preserving GET then index-0 insertion,none,SDK error strings U,order and stable-ID assertions;negative parameters,P0,docs/mcp-mock/services/google_forms.md:246; G:87-108;249-311
google_forms,add_multiple_choice_question,96f7fa1ff02b8130105ddc6d98796f3b49c1c574,W,Form;RADIO options;Question;ACL,code preserving index-0 insertion,offline option text only,empty and duplicate option rejection U,schema snapshot;option counterexamples;readback,P0,docs/mcp-mock/services/google_forms.md:247; G:109-137;313-379
google_forms,get_form,96f7fa1ff02b8130105ddc6d98796f3b49c1c574,R,Form;rich Item union;revision;Drive links,deterministic state rendering,none,rich write and UI coverage staged,all read-schema branches;MCP-SDK-Drive parity,P0,docs/mcp-mock/services/google_forms.md:248; G:138-151;381-406;official Form resource
google_forms,get_form_responses,96f7fa1ff02b8130105ddc6d98796f3b49c1c574,R,Response;questionId;visibility;response ACL,deterministic first-page rendering,offline historical text only,no MCP paging parameters;order U,repeat reads;question references;page boundary,P0,docs/mcp-mock/services/google_forms.md:249; G:152-165;408-433;official responses.list
google_forms,MCP envelope and visibility,0.1.0 source with SDK lock 1.6.1,protocol,fixed five-tool schema;stdio;error wrapping,contract-locked facade,none,unknown tool is caught tool error;runtime SDK U,raw MCP and harness output snapshots,P0,docs/mcp-mock/services/google_forms.md:250; G:28-39;169-200;435-443;custom_mcp_util.py:176-195
google_forms,Forms batchUpdate X,Forms API v1,R+W,Item order;FieldMask;versioned itemId and questionId;revision;settings,shared HTTP and SDK adapter with mask-aware ID handling,proposal-only experiment,atomicity U;targetRevisionId merge staged;historical answers after ID reset U,invalid mixed batch;CAS;ID mask cases;independent historical-response comparison,P1,docs/mcp-mock/services/google_forms.md:251; fillout-online-forms/preprocess/main.py:33-259;official batchUpdate#UpdateItemRequest
google_forms,Drive identity metadata query delete X,Drive API v3,R+W,DriveFile;Form ID;owner;ACL;page state,shared Drive service and Forms transactions,none,q scope and deletion history boundaries,Drive list-get-delete versus MCP reads,P0,docs/mcp-mock/services/google_forms.md:252; utils/app_specific/google_form/ops.py:45-102;customer-survey/evaluation/main.py:252-305
google_forms,publish and responder permissions X,Forms v1 and Drive v3 policy 2026-07-22,manage,legacy profile;published;accepting;published-view ACL,dated code policy and permission checks,none,older create reference disagrees;tenant rollout U,principal matrix;unpublished and closed submission,P1,docs/mcp-mock/services/google_forms.md:253; official api-changes-to-google-forms;publish-form
google_forms,HTTP browser response submission X,Google Forms browser protocol U,W,ResponderSession;Question;Response;publish;ACL,local functional page with shared core,offline content only,DOM and undocumented submission protocol staged,browser-to-API round trip;invalid answers;network capture,P1,docs/mcp-mock/services/google_forms.md:254; fillout-online-forms/task_config.json:2-6;evaluation/main.py:60-105
google_forms,response filtering paging X,Forms API v1,R,Response index;timestamp;page token;visibility,deterministic HTTP query engine,none,sort and concurrent page semantics U,page union;filter boundary;token binding,P1,docs/mcp-mock/services/google_forms.md:255; official forms.responses.list
google_forms,rich media quiz upload and linkedSheet,Forms API v1 readable state,R+W staged,Blob;Drive folder;grading;Sheet mapping;history,rich-read core and staged execution adapters,offline dataset content,API cannot create upload questions;UI and linked events staged,typed read snapshots;blob hashes;cross-service event checks,P2,docs/mcp-mock/services/google_forms.md:256; official Form and FormResponse resources
google_forms,LLM simulation experiment,design 2026-09-10,simulation,explicit state;version;validated patch;replay,compare code versus offline-LLM hybrid versus proposal model,seed content or externally validated proposals,drift hallucination success bias latency,independent invariants;hidden seeds;cost per valid trace,P1,docs/mcp-mock/services/google_forms.md:257; service report sections 7-8
google_sheet,get_sheet_data,mcp-google-sheets 0.4.1,R,Spreadsheet Sheet Cell ACL Format,shared Sheets HTTP core plus fixed MCP,offline seed content,full GridData omission and computed metadata need differential,grid and ValueRange cross-entry golden,P0,docs/mcp-mock/services/google_sheet.md:307; S:125-157; CellData v4 2026-09-10
google_sheet,get_sheet_formulas,mcp-google-sheets 0.4.1,R,formula input and cell value,formula state plus SDK-specific serialization,none,SDK1.5 and1.9 recursively flatten lists; deployed SDK unknown,raw MCP and harness snapshot plus formula oracle,P0,docs/mcp-mock/services/google_sheet.md:308; S:159-192; K:fastmcp/server.py:872-891
google_sheet,update_cells and batch_update_cells,mcp-google-sheets 0.4.1,W/E,typed grid locale ACL formula dependencies,deterministic USER_ENTERED and atomic values API,none,locale parsing and overlapping range counts need differential,RAW versus USER_ENTERED and null empty negative cases,P0,docs/mcp-mock/services/google_sheet.md:309; S:194-272; Sheets ValueInputOption
google_sheet,add_rows and add_columns,mcp-google-sheets 0.4.1,W,grid dimensions format and references,deterministic insertDimension,none,reference and inherited format edge cases,index boundary and shift invariants,P0,docs/mcp-mock/services/google_sheet.md:310; S:275-388
google_sheet,list_sheets and rename_sheet,mcp-google-sheets 0.4.1,R/W,stable sheetId title index and formulas,deterministic metadata operations,none,rename argument is spreadsheet; missing tab is ordinary error dict,stable ID and name collision differential,P0,docs/mcp-mock/services/google_sheet.md:311; S:391-410;487-538
google_sheet,copy_sheet,mcp-google-sheets 0.4.1,W,source grid target ACL titles and formula graph,copyTo then separate rename transaction,none,copy survives rename failure; cross-workbook formula semantics,partial failure and independent source target writes,P0,docs/mcp-mock/services/google_sheet.md:312; S:413-484
google_sheet,get_multiple_sheet_data,mcp-google-sheets 0.4.1,R,multiple files ranges ACL,independent values reads with per-item errors,none,not atomic batchGet; extra query keys preserved,mixed success errors and cross-tool views,P0,docs/mcp-mock/services/google_sheet.md:313; S:541-586
google_sheet,get_multiple_spreadsheet_summary,mcp-google-sheets 0.4.1,R,metadata and first rows per tab,deterministic projection and nested errors,none,rows clamp to1; A1:N and titles need real samples,headers first_rows and repeated reads,P0,docs/mcp-mock/services/google_sheet.md:314; S:589-675
google_sheet,create_spreadsheet and create_sheet,mcp-google-sheets 0.4.1,W,Drive file parent owner and sheets,shared state with API-specific commits,none,folder move failure still reports configured folder,independent Drive parents and created IDs oracle,P0,docs/mcp-mock/services/google_sheet.md:315; S:712-817
google_sheet,list_spreadsheets,mcp-google-sheets 0.4.1,R,Drive query ACL modifiedTime,Drive query projection first-page compatibility,none,no pagination token no trashed filter no root restriction,M first page versus X pagination and trashed cases,P0,docs/mcp-mock/services/google_sheet.md:316; S:820-851; Drive files.list v3
google_sheet,share_spreadsheet,mcp-google-sheets 0.4.1,A/W,Drive permissions principals notification outbox,per-recipient permission commits,none,partial success and same-file concurrency behavior,ACL oracle and reader writer tests,P0,docs/mcp-mock/services/google_sheet.md:317; S:854-930; Drive permissions.create v3
google_sheet,spreadsheet info resource template,mcp-google-sheets 0.4.1,R,spreadsheet metadata and FastMCP context,versioned resource compatibility profile,none,get_lifespan_context absent in verified SDK1.5 and1.9,resource list MIME and error protocol snapshot,P0,docs/mcp-mock/services/google_sheet.md:318; S:678-709; K:fastmcp/server.py:295-318
google_sheet,Drive and SDK HTTP initialization evaluation,Sheets v4 Drive v3 gspread6.2.1,X R/W/A,file IDs parents ACL and grid,common HTTP state plus client transport adapters,none,gspread padding numericise and RAW defaults differ from M,preprocess-equivalent state plans and cross-entry oracle,P0,docs/mcp-mock/services/google_sheet.md:319; utils/app_specific/googlesheet/drive_helper.py:10-150; gspread worksheet.py:474-610
google_sheet,local formulas and formatted values,Sheets v4 dated 2026-09-10,E,formula graph locale timeZone number formats,validated HyperFormula3.4.0 subset plus Google adapters,offline business data only,engine is not full Google compatibility,independent hand-calculated cases and controlled Sheets differential,P0,docs/mcp-mock/services/google_sheet.md:320; HyperFormula af2d59dc61ec1434498c7233d06e77370e7235b8; Sheets CellData
google_sheet,advanced formulas formats protected ranges and shared drives,Sheets v4 Drive v3 dated 2026-09-10,E/W/A,arrays external references format rules permissions,staged deterministic engines and state rules,none,dynamic arrays external functions and tenant policy gaps,per-family semantic profile and holdout differential,P1-P2,docs/mcp-mock/services/google_sheet.md:321; S:149-157; Sheets CellData; HyperFormula known-limitations.md
google_sheet,multi-episode synthesis and replay,design only,management,namespace snapshots clock event log and blobs,isolated shared service and versioned logs,offline seeded content proposals,distribution latency and throughput unmeasured,mutation isolation recovery and effective-trajectory cost,P0,docs/mcp-mock/services/google_sheet.md:322; sections3-8; shared.md; validation-plan.md
notion,19-tool-contract,43f117584206cee47d939207ddbe1ac02732f865,read/write,OpenAPI plus parser plus wrapper,retain pinned MCP with BASE_URL,none,declared schema defects and missing outputSchema,recursive schema and raw MCP versus model-visible snapshots,P0,docs/mcp-mock/services/notion.md:293; S:parser.ts:96-196 and 362-474;S:proxy.ts:74-155
notion,users-get-user-get-users-get-self,43f1175/API-2022-06-28,read,workspace members and bot owner and user capability,typed HTTP authority,seed user background only,permission-dependent field visibility requires records,identity matrix and pagination,P0,docs/mcp-mock/services/notion.md:294; S:notion-openapi.json:36-214
notion,page-create-retrieve-patch,43f1175/API-2022-06-28,read/write,page parent and typed properties and ACL,typed state engine with preserved MCP schema,seed page content,create/patch schema narrower than REST;runtime acceptance U,cross-entry write-read and schema-negative cases,P0,docs/mcp-mock/services/notion.md:295; S:notion-openapi.json:1195-1451;notion_page_duplicator.py:127-225
notion,block-list-append-retrieve-update-delete,43f1175/API-2022-06-28,read/write,ordered block tree and rich_text and archive state,typed tree engine and HTTP,seed text;bounded patch experiment,append only two declared types;update type object mismatch,tree invariants and sequence/restore differential,P0,docs/mcp-mock/services/notion.md:296; S:notion-openapi.json:914-1189
notion,database-create-retrieve-update-query,43f1175/API-2022-06-28,read/write,database schema and typed page values and query AST,typed query engine on transactional storage,seed business content only,complex filters/formulas and legacy schema contradictions,typed golden examples and independent query/SDK differential,P0,docs/mcp-mock/services/notion.md:297; S:notion-openapi.json:221-844 and 1457-1746
notion,search-pagination-property-item,43f1175/API-2022-06-28,read,title index and ACL and cursor and complete property values,deterministic indexed projection,none,index delay/rank details U and page truncation,100/101 boundaries and query consistency and visibility events,P0,docs/mcp-mock/services/notion.md:298; S:notion-openapi.json:850-945 and 1752-1812
notion,comments-create-retrieve,43f1175/API-2022-06-28,read/write,page/block parent and discussion and comments capability,typed comment store shared with HTTP,seed existing comments only,no declared discussion reply or edit/resolve tools,parent/creator checks and financial-analysis cross-entry,P0,docs/mcp-mock/services/notion.md:299; S:notion-openapi.json:1818-1933;quantitative-financial-analysis/evaluation/check_content.py:19-47
notion,ACL-page-root-filter-cache,43f1175 plus dated backend profile,management/read/write,integration capability and share grants and ancestry cache,backend ACL plus original fork guard,none,fork guard misses database CRUD/comments/search and cache stale,principal matrix and route/cache negative tests,P0,docs/mcp-mock/services/notion.md:300; S:page-access-control.ts:112-188 and 381-408;S:proxy.ts:169-179
notion,rich-text-relation-formula-rollup,API-2022-06-28 B-layer,read/write/derived,typed properties and references and dependency graph,typed evaluator and lossless graph,content generation only,formula/rollup coverage staged;schema-versus-backend split,independent typed oracle and real controlled differential,P1,docs/mcp-mock/services/notion.md:301; legacy query reference;S:notion-openapi.json:221-844 and 1752-1812
notion,files-attachments-and-URLs,API-2022-06-28 plus dated backend profile,read/write-reference,blob bytes and ACL and external URL and expiry,shared blob store with Notion media adapter,offline valid media/content generation,no fixed M upload tool;URL lifetime and external fetch variability,byte hash and expiry and cross-service permission tests,P1,docs/mcp-mock/services/notion.md:302; file-object official reference;S:notion-openapi.json:1222-1451
notion,SDK-and-direct-HTTP-X,notion-client-2.5.0/API-2022-06-28,read/write,same pages/databases/blocks and distinct principals,shared HTTP authority with SDK/HTTP routing,none,hardcoded endpoints are not redirected by MCP BASE_URL,cross-entry write-read and HTTP exception checks,P0,docs/mcp-mock/services/notion.md:303; uv.lock:2048-2056;utils/app_specific/notion/ops.py:59-334;task-tracker/evaluation/main.py:127-198
notion,official-duplicate-move-X,dynamic remote snapshot U,write,copy graph and parent and readiness and OAuth identity,freeze remote contract then same-state X adapter,none,caller expectation only;full remote tools/resources/prompts U,authorized tools snapshot then graph-copy/move differential,P2,docs/mcp-mock/services/notion.md:304; notion_official.yaml:5-14;notion_page_duplicator.py:535-637
notion,Playwright-UI-and-protection-X,current repository ef7ab592,read/write,navigation DOM and browser state and same page graph,staged UI adapter with explicit profile,none,title-first parent selection differs from ID move;protector not global,DOM/state cross-check and duplicate-name tests,P3,docs/mcp-mock/services/notion.md:305; notion_page_duplicator.py:277-343 and 471-499;urls.py:6-22;notion_page_protector.py:72-205
notion,version-time-concurrency-recovery,API-2022-06-28 plus dated backend profile,management,commit log and visibility events and quota and episode generation,transaction log plus virtual time and namespaced caches,none,backend policies drift independently of API header;conflict semantics U,recovery hashes and concurrent histories and rate-limit differential,P1,docs/mcp-mock/services/notion.md:306; request-limits and upgrade-guide-2025-09-03 official docs;shared synthesis design
notion,LLM-generation-and-bounded-online-control,design profile D,initialization/optional simulation,validated state slices and read-set versions,code-led hybrid with independent validator,seed content;optional constrained mutation proposal,drift/hallucination/cost;no service-added drafting,three-route same-contract trial and independent state oracle,P2,docs/mcp-mock/services/notion.md:307; services/notion.md sections 7-8
snowflake,list_databases_list_schemas_list_tables,bca38f3ef5305ac53b9935bd09edbfac442b6a36,R,catalog role session allowlist exclusion_patterns,real_MCP plus shared_SQL_catalog,seed_comments_only,case_inconsistent_allowlist and no_pagination; INFORMATION_SCHEMA_visibility,contract_snapshot plus SDK_catalog_cross_read,P1,docs/mcp-mock/services/snowflake.md:319; S:90-229; S:727-763
snowflake,describe_table,bca38f3ef5305ac53b9935bd09edbfac442b6a36,R,column_types_defaults_comments quoted_names,real_MCP plus shared_catalog,seed_comments_only,split_dot_and_uppercase_wrapper_breaks_quoted_names,quoted_identifier_cases plus independent_metadata_oracle,P1,docs/mcp-mock/services/snowflake.md:320; S:232-277; S:764-778
snowflake,read_query_core_SQL,bca38f3ef5305ac53b9935bd09edbfac442b6a36,R/E,typed_rows catalog role session warehouse,verified_Snowflake_semantics plus SQL_executor,initial_business_content,finite_SQL_profile; empty_rows_sentinel; Decimal_float_projection,independent_typed_oracle plus real_Snowflake_differential,P1,docs/mcp-mock/services/snowflake.md:321; S:280-312; B:68-87; Z:14-69
snowflake,write_query_DML_DDL_session,bca38f3ef5305ac53b9935bd09edbfac442b6a36,W/E/A,rows catalog session transaction privileges,deterministic_executor plus session_state,none,description_narrower_than_dispatch; SELECT_prefix_only; allowlist_parser_gaps,commit_history plus multi_session_differential,P1,docs/mcp-mock/services/snowflake.md:322; S:324-337; W:10-98
snowflake,create_table,bca38f3ef5305ac53b9935bd09edbfac442b6a36,W/A,catalog types defaults session role,real_MCP plus SQL_DDL,none,CREATE_TABLE_prefix_restriction; no_allowed_database_check,DDL_metadata_rows_and_permission_oracle,P1,docs/mcp-mock/services/snowflake.md:323; S:620-627; S:816-826
snowflake,create_databases_drop_databases,bca38f3ef5305ac53b9935bd09edbfac442b6a36,W/A,database_hierarchy ownership dependencies,deterministic_catalog_DDL,none,asymmetric_allowlist_errors; partial_batch_and_duplicate_names,per_item_commit_log plus independent_catalog,P1,docs/mcp-mock/services/snowflake.md:324; S:340-420; S:827-860
snowflake,create_schemas_drop_schemas,bca38f3ef5305ac53b9935bd09edbfac442b6a36,W/A,database_schema_hierarchy ACL,deterministic_catalog_DDL,none,precheck_snapshot_not_refreshed; partial_success,mixed_valid_invalid_batches plus SDK_reads,P1,docs/mcp-mock/services/snowflake.md:325; S:423-506; S:861-902
snowflake,create_tables_drop_tables,bca38f3ef5305ac53b9935bd09edbfac442b6a36,W/A/E,catalog SQL_definition dependencies role,real_MCP plus verified_DDL_backend,none,empty_catalog_sentinel_causes_TABLE_NAME_precheck_failure; regex_case_replace_target_gaps,empty_schema_zero_DDL_then_legal_first_table plus independent_catalog,P1,docs/mcp-mock/services/snowflake.md:326; B:79-87; S:529-535; S:595-600; S:903-964
snowflake,append_insight_and_memo_resource,bca38f3ef5305ac53b9935bd09edbfac442b6a36,W_local/R,mcp_session_memo notification_state,strict_profile_error; fixed_profile_deterministic_append,none,unexpected_allowed_databases_kwarg_prevents_append,signature_audit plus error_and_unchanged_memo_snapshot,P0,docs/mcp-mock/services/snowflake.md:327; S:315-321; S:977-1010; S:1043-1050
snowflake,prefetch_context_resources_and_prompts,bca38f3ef5305ac53b9935bd09edbfac442b6a36,R,mcp_process_prefetch_catalog_snapshot,real_MCP plus session_snapshot,none,empty_catalog_sentinel_to_error_string_to_keys_failure; stale_prefetch; help_visibility_gap; data_URI_not_readable,empty_schema_resource_failure plus nonempty_config_contract_matrix,P0,docs/mcp-mock/services/snowflake.md:328; B:79-87; S:647-659; S:987-994; S:967-1018
snowflake,SQL_NUMBER_NULL_TIME_VARIANT_identifiers,bca38f3ef5305ac53b9935bd09edbfac442b6a36,R/W/E,typed_rows precision_scale timezone name_resolution,semantic_adapter plus verified_execution_kernel,seed_text_and_JSON_only,DuckDB_SQLite_not_equivalent; serializer_loss_separate_from_state,exact_decimal_3VL_time_and_quoted_oracles,P1_P2,docs/mcp-mock/services/snowflake.md:329; Z:14-69; official_Snowflake_types_identifiers_docs_2026-09-10
snowflake,SQL_transactions_warehouse_query_history,bca38f3ef5305ac53b9935bd09edbfac442b6a36,E/A,session transaction warehouse query_result role clock,deterministic_state_machine plus actual_SQL_execution,none,DDL_implicit_commit_READ_COMMITTED_and_reconnect; MCP_data_id_not_sfqid,multi_session_history plus real_differential,P1_P2,docs/mcp-mock/services/snowflake.md:330; B:19-87; official_transactions_and_warehouse_docs_2026-09-10
snowflake,SQL_stage_COPY_PUT_GET_external_storage,bca38f3ef5305ac53b9935bd09edbfac442b6a36,R/W/E,stage file_format bytes ACL load_history,blob_API plus format_parser_SQL_loader,seed_file_content_only,M_SDK_acceptance_pending; fakesnow_partial_formats_and_ON_ERROR,byte_hash_independent_parser_and_load_history_oracle,P2_P3,docs/mcp-mock/services/snowflake.md:331; S:324-337; fakesnow_57c35e3_copy_into.py:210-263
snowflake,SQL_tasks_procedures_and_advanced_features,bca38f3ef5305ac53b9935bd09edbfac442b6a36,E/A,definition role schedule execution_runtime history,staged_real_executor_or_explicit_unsupported,scenario_generation_only,not_dedicated_MCP_tools; no_fake_execution_success,execution_artifacts plus state_history_and_controlled_real_cases,P3,docs/mcp-mock/services/snowflake.md:332; S:324-337; official_CREATE_TASK_docs_2026-09-10
snowflake,X_Connector_Snowpark_initialization_evaluation,repository_ef7ab5928062defc0dc2a91a4c26ddebccb1a6a7,R/W/E/A,shared_authority separate_sessions global_and_local_principals,local_HTTP_or_SDK_adapter_to_same_backend,none,M_Connector_below_3.14_vs_X_3.16; helper_new_connection_each_call,M_X_cross_read_and_commit_visibility_isolation,P0,docs/mcp-mock/services/snowflake.md:333; utils/app_specific/snowflake/client.py:10-119; uv.lock:3125-3126; P:8-16
